scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
300156,016048,80149814,神雾环保,环保工程,cyb,003,001,2,2019-10-29T00:00:00,2017-03-31T00:00:00,5622812067.14,200289083.18,412561320.85,-0.640210592097814,1258475292.88,0.980348339663374,1313070950.18,0.385504392426238,2939926506.65,731742055.64,0.276929083479334,92414396.44,1.88421338220151,2682885560.49,0.401106945140982,0.318978,0.252005,0.02486221,0.5228569747,-,-,-,-,85406438.86,0.0997700808964816,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-10-28T20:42:35
300023,016058,80133637,宝德股份,多元金融,cyb,003,001,2,2019-06-28T00:00:00,2017-03-31T00:00:00,5833171821.0,129212687.71,244767450.13,-0.676940571128586,107997252.33,-0.362478585321155,144753972.21,3.56229179630823,4700591715.95,75315168.87,0.789614504308416,32244040.69,65.457752253834,1132580105.05,0.075897245199811,0.327808,0.407195,0.00248972,0.8058380346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-06-28T17:50:59
002775,016046,80204879,文科园林,园林工程,zxb,003,001,2,2019-04-23T00:00:00,2017-03-31T00:00:00,2385840449.55,25113151.37,271556993.42,-0.0464295096196232,355283698.63,-0.16426253833397,936667865.61,0.160579552615111,1145147404.67,309920017.22,0.446128070187308,156859449.14,2.12225748638151,1240693044.88,0.101785828153978,0.275219,0.537417,0.01823442,0.4799765235,-,-,-,-,14312000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-12-04T10:01:02
600172,016040,10000135,黄河旋风,材料行业,shzb,003,001,2,2018-09-26T00:00:00,2017-03-31T00:00:00,9135450028.98,3930938964.23,662897173.28,-0.291485860874546,1222038851.77,0.0720065521714688,473871998.28,0.301719465639437,4345300232.07,339019861.88,-0.0300841205069169,123608765.62,1.09455517057487,4790149796.91,0.0363310926513304,0.126036,0.244819,0.00758895,0.4756525643,-,-,-,-,100001.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:27:26
000732,016017,10001047,泰禾集团,房地产,szzb,003,001,2,2018-08-18T00:00:00,2017-03-31T00:00:00,146136145634.42,2186692138.95,27151859633.47,5.39580910900062,895892455.22,1.08263088972181,90794911837.88,0.344490946441473,124155746155.58,2864442054.99,0.473716191309034,16564677484.43,0.0297368113368771,21980399478.84,0.268863677138567,0.696419,0.804039,0.02568606,0.849589577,-,-,-,-,1174992670.75,-0.61232111535086,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:40:55
002175,016039,80098200,*ST东网,文化传媒,,003,001,2,2018-07-07T00:00:00,2017-03-31T00:00:00,3080054398.14,143335689.68,435522837.82,-0.437538180350345,288397337.81,0.421052559983648,171524432.61,0.090745950761972,1456595816.9,47198616.22,-0.389227521524307,14215094.64,0.390944590249117,1623458581.24,0.0601709385224499,0.168073,0.31753,0.0172516,0.4729123673,-,-,-,-,237430000.0,117.715,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-11-28T10:41:53
002188,016022,80100687,*ST巴士,电子元件,,003,001,2,2018-07-04T00:00:00,2017-03-31T00:00:00,2369113074.49,134636052.61,119027202.42,0.0611100026967413,399479122.16,0.749684234572367,40213930.87,-0.053887463964644,283970594.14,143682133.41,0.252523312622776,14929017.79,25.1576334134958,2085142480.35,0.0390030589438065,0.076175,0.459618,0.02168256,0.1198636727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:27:24
300216,016047,80166376,千山药机,医疗行业,cyb,003,001,2,2018-06-09T00:00:00,2017-03-31T00:00:00,4305411823.45,496384938.06,387530445.46,-0.0258241125431874,1086092812.91,1.02831869965631,377996275.51,0.0484528802787353,2992079651.24,155623468.79,0.0352151918545398,54073998.06,-0.120321014144597,1313332172.21,0.229425909844365,0.381632,0.461026,0.01865575,0.6949578284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:25:07
000961,016017,10001213,中南建设,房地产,szzb,003,001,2,2018-04-27T00:00:00,2017-03-31T00:00:00,122429780239.58,2116248422.34,10533742943.51,0.0860514566668726,6058685512.6,-0.0517461463910402,80376904220.44,0.202815030450539,106169041523.39,9114750849.14,0.58926266298168,42757736518.56,0.187500916142498,16260738716.19,-0.095162628173402,0.189996,0.250347,0.0157962,0.8671831422,-,-,-,-,50000000.0,-0.0196078431372549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-11-29T09:45:30
002200,016046,80088507,*ST云投,园林工程,,003,001,2,2018-04-26T00:00:00,2017-03-31T00:00:00,3459052638.51,83330674.65,339797653.38,0.655638919915612,411859408.38,0.214143259348012,1328325549.77,-0.160563806972294,2479814676.23,434579861.21,0.0810847852108762,4081807.16,1.14921788572428,979237962.28,0.0570550686548487,0.20677,0.278262,0.00962021,0.7169057356,-,-,-,-,50000.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-11-28T10:12:21
300288,016014,80188444,朗玛信息,电子信息,cyb,003,001,2,2018-04-20T00:00:00,2017-03-31T00:00:00,1399915717.62,112426352.16,260661698.37,-0.218932979493616,79424596.15,0.0249793593562623,6516377.77,0.152961172024593,181331930.9,23220357.43,-0.465055731866049,30602689.23,0.766562861355912,1218583786.72,0.142669915581591,0.036971,-0.360537,0.0207587,0.1295306057,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:24:52
600677,016015,10000484,*ST航通,通讯行业,,003,001,2,2018-04-12T00:00:00,2017-03-31T00:00:00,14456575284.75,1347504395.18,863371443.33,0.148750853547521,5246000166.91,0.588359437192232,1851441738.96,-0.0293079092345844,10098447952.49,3198825725.8,0.26676627785071,1120050445.93,1.61377252650852,4358127332.26,0.054931607585256,0.288398,0.424445,0.01188186,0.6985366695,-,-,-,-,21554099.14,2.28864405001966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:27:19
600321,016004,10000262,ST正源,水泥建材,,003,001,2,2018-04-11T00:00:00,2017-03-31T00:00:00,2905661388.78,1505318340.64,16830735.46,-0.816026955856355,118107607.35,-0.160059176836821,316144633.94,-0.0964028901791482,262845846.13,117317483.13,0.197376370370087,3083995.75,2.64237806183694,2642815542.65,-0.00499130398940202,-0.13988,-0.636014,0.01785392,0.0904599026,-,-,-,-,2000000.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-11-29T13:50:35
000612,016032,10000948,焦作万方,有色金属,szzb,003,001,2,2018-03-29T00:00:00,2017-03-31T00:00:00,7277130771.6,2649686171.02,254321374.73,-0.496565515367292,63210565.14,0.369508310860653,715257171.82,1.2556363958914,2715737521.84,116960159.43,-0.212998287804612,24046223.12,0.479738533673358,4561393249.76,-0.0407034809392365,-0.142545,-0.272302,0.00895106,0.373187951,-,-,-,-,412557800.0,3.94467670219644,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:34:54
300275,016021,80185188,梅安森,仪器仪表,cyb,003,001,2,2018-02-27T00:00:00,2017-03-31T00:00:00,968174097.19,126527174.44,58454915.62,-0.226842753111941,373546178.95,0.205078556353285,77836005.82,0.344773035560025,424566903.56,115864496.23,1.89244284020613,8214043.25,3.58895147312723,543607193.63,-0.0675955451773944,0.119558,0.506806,0.01368138,0.4385233036,-,-,-,-,24500000.0,23.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:24:11
600696,016003,10000503,ST岩石,交运物流,,003,001,2,2018-01-31T00:00:00,2017-03-31T00:00:00,431944101.54,4211609.95,192830990.41,1.13100515768741,-,-,58095501.41,-0.945499985407537,171465147.36,2550395.01,-0.979831999611253,165153.16,-0.999660886427806,260478954.18,-0.536635871789286,-0.658919,-0.756528,0.0212788,0.396961428,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:24:15
000755,016002,10001059,山西路桥,高速公路,szzb,003,001,2,2017-12-14T00:00:00,2017-03-31T00:00:00,5310734501.95,3469714131.61,924486739.04,0.268781987778307,91142407.75,-0.280624012789785,358635285.5,-0.0868174003851931,4925110978.07,387705719.71,-0.0336042813794962,57133803.95,-0.694282421743996,385623523.88,-0.644061443565697,-0.058869,0.08018,0.00327626,0.9273879115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:23:39
600110,016040,10000083,诺德股份,材料行业,shzb,003,001,2,2017-10-26T00:00:00,2017-03-31T00:00:00,5772710977.55,1803893261.55,630010902.71,-0.328053946034363,661317265.17,0.367036066535743,285702722.69,-0.012890943126465,3578801926.09,176363771.03,-0.384191065751557,22953836.52,-0.450796868972325,2193909051.46,-0.0209966755983113,-0.024194,-0.026144,0.00886655,0.6199516899,-,-,-,-,115000000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:33:27
603916,016041,80474376,苏博特,化工行业,shzb,003,001,2,2017-10-23T00:00:00,2017-03-31T00:00:00,2258715653.46,531933515.47,81887711.95,-,634403298.63,-,133080298.01,-,1106870370.28,79324871.14,-,7742062.78,-,1151845283.18,-,-,-,0.01140016,0.4900441402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:33:14
000713,016009,10001030,丰乐种业,农牧饲渔,szzb,003,001,2,2017-10-21T00:00:00,2017-03-31T00:00:00,2050796270.63,338719975.36,111668194.26,-0.51237788318203,138840477.01,0.484185859285118,718411604.73,0.286111455354349,667628453.89,131265531.73,0.319418952288204,178331253.81,0.0176554848638205,1383167816.74,0.00475825485003966,0.09898,0.363972,0.01880999,0.3255459664,-,-,-,-,123294660.89,0.10627798097809,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:24:29
603659,016040,80507575,璞泰来,材料行业,shzb,003,001,2,2017-10-16T00:00:00,2017-03-31T00:00:00,2076256588.01,195846829.87,203410413.34,-,472288312.95,-,742008477.75,-,999099585.27,499411483.67,-,280914482.63,-,1077157002.74,-,-,-,0.01743349,0.4812023673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:33:09
688368,016022,80701789,晶丰明源,电子元件,,003,001,2,2017-10-13T00:00:00,2017-03-31T00:00:00,314365048.14,4500743.32,46256398.82,-,97652125.63,-,55605454.79,-,176488822.75,115975712.31,-,1628079.19,-,137876225.39,-,-,-,0.01674895,0.5614136298,-,-,-,-,10000000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:33:08
603068,016022,80701784,博通集成,电子元件,shzb,003,001,2,2017-10-13T00:00:00,2017-03-31T00:00:00,514105155.16,57547252.35,177928537.22,-,66392657.2,-,189466067.99,-,282839869.77,95914249.47,-,2266246.77,-,231265285.39,-,-,-,0.01613281,0.5501595674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:33:09
300762,016015,80485029,上海瀚讯,通讯行业,cyb,003,001,2,2017-10-13T00:00:00,2017-03-31T00:00:00,568294070.73,7250903.59,43118558.32,-,283746917.43,-,101477770.65,-,152982836.88,142321669.84,-,3022150.0,-,415311233.85,-,-,-,0.03487597,0.2691966092,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:33:09
603260,016041,80476576,合盛硅业,化工行业,shzb,003,001,2,2017-10-10T00:00:00,2017-03-31T00:00:00,8591233913.44,4002890486.79,894589851.75,-,300854740.38,-,751703383.33,-,5612182061.59,1775424237.98,-,66177925.49,-,2979051851.85,-,-,-,0.00458108,0.6532451704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:33:03
