scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
000038,深大通,A股,深交所主板,2020-01-23T00:00:00,2018-03-31T00:00:00,0.0994,-,453344166.56,-0.4093,2.6954,51974730.05,-44.814,-43.1683,0.95,10.41326662,0.022442,12.252,文化传媒,-,-,058001001,069001002001,2018-04-26T00:00:00
600677,*ST航通,A股,上交所风险警示板,2020-01-21T00:00:00,2018-03-31T00:00:00,-0.31,-,2329755415.26,6.4393,59.3109,-163890815.95,-311.8513,97.1519,-0.4,6.21894703,-0.300374,4.3378,通讯行业,-,-,058001001,069001001003,2018-04-28T00:00:00
002671,龙泉股份,A股,深交所中小板,2020-01-03T00:00:00,2018-03-31T00:00:00,0.01,-,187133434.82,183.2693,-59.7812,3060548.96,112.2943,-96.0876,0.15,4.46323545,-0.10949,37.687,水泥建材,-,-,058001001,069001002003,2018-04-24T00:00:00
002175,*ST东网,A股,深交所风险警示板,2019-12-06T00:00:00,2018-03-31T00:00:00,-0.0542,-,44824910.46,-70.5994,168.2651,-40858266.05,-401.2412,85.4262,-3.98,1.33555391,-0.032153,-3.8172,文化传媒,-,-,058001001,069001002005,2018-04-27T00:00:00
000088,盐田港,A股,深交所主板,2019-12-05T00:00:00,2018-03-31T00:00:00,0.03,-,90155975.18,13.9511,-3.1429,56632118.46,-28.8595,-53.0823,0.9,3.2530615,0.011779,48.2754,港口水运,-,-,058001001,069001002001,2018-04-27T00:00:00
002740,爱迪尔,A股,深交所中小板,2019-11-18T00:00:00,2018-03-31T00:00:00,0.03,-,438365247.51,21.0301,26.1854,9486629.75,-18.6968,1850.2882,0.61,4.39993462,-0.11442,15.0257,珠宝首饰,-,-,058001001,069001002003,2018-04-24T00:00:00
002005,*ST德豪,A股,深交所风险警示板,2019-11-18T00:00:00,2018-03-31T00:00:00,0.0017,-,870097977.03,2.7967,-14.35,3004664.89,103.4705,100.3448,0.03,3.47628083,0.008739,22.5627,家电行业,-,-,058001001,069001002005,2018-04-27T00:00:00
000652,泰达股份,A股,深交所主板,2019-10-25T00:00:00,2018-03-31T00:00:00,-0.0087,-,3646957817.08,11.1053,-47.9766,-12797638.37,51.8371,-105.6275,-0.34,2.55038149,0.231561,2.229,综合行业,-,-,058001001,069001002001,2018-04-28T00:00:00
000607,华媒控股,A股,深交所主板,2019-09-30T00:00:00,2018-03-31T00:00:00,-0.013,-,333143484.04,-2.8367,-46.9045,-13275403.96,25.3483,-123.1948,-0.68,1.75598907,-0.070046,20.7606,文化传媒,-,-,058001001,069001002001,2018-04-27T00:00:00
000981,ST银亿,A股,深交所风险警示板,2019-09-25T00:00:00,2018-03-31T00:00:00,0.11,-,2330894123.84,2.5352,-70.4903,432892626.97,134.66,-58.8883,2.39,4.55771854,0.108237,25.8949,汽车行业,-,-,058001001,069001002005,2018-04-28T00:00:00
601118,海南橡胶,A股,上交所主板,2019-08-31T00:00:00,2018-03-31T00:00:00,-0.0625,-,1093138068.68,-27.3586,-46.4436,-252892859.27,-1897.5884,9.1571,-3.06,2.17902769,-0.048374,6.2484,塑胶制品,-,-,058001001,069001001001,2018-04-28T00:00:00
000971,*ST高升,A股,深交所风险警示板,2019-08-30T00:00:00,2018-03-31T00:00:00,0.0342,-,223481094.47,3.945,-3.347,17460438.87,-56.3503,-45.5204,0.47,7.24380891,-0.003133,25.1245,电子信息,-,-,058001001,069001002005,2018-04-14T00:00:00
300726,宏达电子,A股,深交所创业板,2019-08-30T00:00:00,2018-03-31T00:00:00,0.1059,-,137463818.35,32.8838,-11.6088,42389520.08,18.9793,-20.4642,3.05,3.53093406,-0.054678,69.0481,电子元件,-,-,058001001,069001002002,2018-04-20T00:00:00
002167,东方锆业,A股,深交所中小板,2019-08-30T00:00:00,2018-03-31T00:00:00,0.02,-,141937350.57,1.4188,-58.3106,13034282.94,293.427,121.5843,1.25,1.68357732,0.331595,28.7893,有色金属,-,-,058001001,069001002003,2018-04-27T00:00:00
002638,勤上股份,A股,深交所中小板,2019-08-29T00:00:00,2018-03-31T00:00:00,0.04,-,317515973.6,3.6564,-26.2139,54738040.45,24.7524,421.13,1.05,3.43650205,-0.036171,27.4429,电子元件,-,-,058001001,069001002003,2018-04-28T00:00:00
600671,天目药业,A股,上交所主板,2019-08-28T00:00:00,2018-03-31T00:00:00,-0.02,-,90371921.11,280.9833,-1.6499,-1882756.79,39.1438,-373.7638,-2.85,0.53563567,0.281462,33.03,医药制造,-,-,058001001,069001001001,2018-04-28T00:00:00
300140,中环装备,A股,深交所创业板,2019-08-28T00:00:00,2018-03-31T00:00:00,-0.0733,-,248209938.49,36.0272,-69.9002,-25302058.23,-85.2499,-152.4853,-1.93,3.76871051,-0.16054,22.1153,输配电气,-,-,058001001,069001002002,2018-04-21T00:00:00
