scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode,firstnoticedate
688099,晶晨股份,A股,上交所科创板,2019-08-02T00:00:00,2019-03-31T00:00:00,-,561610200.0,1.4983567360268344,-23.553872088873312,553319500.0,46273400.0,-28.708371336307835,-53.86490695142192,64907200.0,-,-,电子元件,058001001,069001001006,2019-08-02T00:00:00
603115,海星股份,A股,上交所主板,2019-07-30T00:00:00,2019-03-31T00:00:00,-,250936900.0,3.4707283573251986,-10.772143981946478,242519700.0,33179400.0,30.49141643560852,-19.731431609309766,25426500.0,-,-,材料行业,058001001,069001001001,2019-07-30T00:00:00
002960,青鸟消防,A股,深交所中小板,2019-07-29T00:00:00,2019-03-31T00:00:00,-,370283600.0,52.162921394487206,-30.068514058682823,243346800.0,50587200.0,62.0932624556614,-44.54777753871654,31208700.0,-,-,安防设备,058001001,069001002003,2019-07-29T00:00:00
603662,柯力传感,A股,上交所主板,2019-07-24T00:00:00,2019-03-31T00:00:00,-,150932400.0,20.417036988576797,-18.546252647236884,125341400.0,27727000.0,60.69803698831002,-33.71814060813436,17254100.0,-,-,仪器仪表,058001001,069001001001,2019-07-24T00:00:00
688366,昊海生科,A股,上交所科创板,2019-07-23T00:00:00,2019-03-31T00:00:00,-,312290200.0,13.25642196394902,-33.53390155950639,275737300.0,66591500.0,4.629914777012419,-50.85042936011013,63644800.0,-,-,医药制造,058001001,069001001006,2019-07-23T00:00:00
688108,赛诺医疗,A股,上交所科创板,2019-07-22T00:00:00,2019-03-31T00:00:00,-,101354100.0,9.272534190084471,-6.7590893106847005,92753500.0,23304700.0,4.6339448470317794,-7.786052143857439,22272600.0,-,-,医疗行业,058001001,069001001006,2019-07-22T00:00:00
688098,申联生物,A股,上交所科创板,2019-07-22T00:00:00,2019-03-31T00:00:00,-,94831600.0,-13.251217783063096,186.76560587084091,109317500.0,35091200.0,-14.208318256940844,487.93588805365135,40902800.0,-,-,农药兽药,058001001,069001001006,2019-07-22T00:00:00
688033,天宜上佳,A股,上交所科创板,2019-07-18T00:00:00,2019-03-31T00:00:00,-,155080600.0,-13.037778064385888,22.037129477977523,178331000.0,75602700.0,-15.215760333831629,36.04381963644241,89170700.0,-,-,交运设备,058001001,069001001006,2019-07-18T00:00:00
688066,航天宏图,A股,上交所科创板,2019-07-18T00:00:00,2019-03-31T00:00:00,-,11987200.0,190.0713853599516,-96.44940668484881,4132500.0,-40031400.0,-63.846219962917935,-130.05503428641438,-24432300.0,-,-,软件服务,058001001,069001001006,2019-07-18T00:00:00
688008,澜起科技,A股,上交所科创板,2019-07-18T00:00:00,2019-03-31T00:00:00,-,404717100.0,20.074106357962368,-20.0905323559926,337056100.0,225740400.0,42.02288191309654,30.065778206060866,158946500.0,-,-,电子元件,058001001,069001001006,2019-07-18T00:00:00
688020,方邦股份,A股,上交所科创板,2019-07-18T00:00:00,2019-03-31T00:00:00,-,58903000.0,0.3831065029261293,11.657403943539798,58678200.0,25268500.0,4.243416845779067,51.98958800736325,24239900.0,-,-,材料行业,058001001,069001001006,2019-07-18T00:00:00
688016,心脉医疗,A股,上交所科创板,2019-07-17T00:00:00,2019-03-31T00:00:00,-,92115600.0,38.44267099508544,58.120491358048454,66537000.0,44664900.0,36.30936940181218,206.713974105218,32767300.0,-,-,医疗行业,058001001,069001001006,2019-07-17T00:00:00
688029,南微医学,A股,上交所科创板,2019-07-17T00:00:00,2019-03-31T00:00:00,-,286989600.0,37.50567171559155,18.706607488902275,208711100.0,63938600.0,18.9435852026029,118.50412032611321,53755400.0,-,-,医疗行业,058001001,069001001006,2019-07-17T00:00:00
688333,铂力特,A股,上交所科创板,2019-07-16T00:00:00,2019-03-31T00:00:00,-,54234100.0,34.79668936720187,-66.26042931061107,40234000.0,-2275200.0,37.554549197200494,-104.73329391060378,-3643500.0,-,-,专用设备,058001001,069001001006,2019-07-16T00:00:00
