scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
000038,016039,10000627,深大通,文化传媒,003,001,2,szzb,2020-01-23T00:00:00,2019-03-31T00:00:00,4215289.37,587247032.18,578067621.4,0.455390104441528,551679555.16,0.386825252564161,13403297.48,15832588.11,-11635833.57,9530613.17,8469828.96,4008567.15,-,-,-,-,-,2058712.28,-,-,-,-,-,-,-,-,0.295367,-0.845611,-0.918897,4912457.97,-0.8979361455,2020/1/22 18:06:02,551679555.16
600677,016015,10000484,*ST航通,通讯行业,003,001,2,,2020-01-21T00:00:00,2019-03-31T00:00:00,-21828350.5,755944040.69,979670147.44,-0.621326082388076,662264578.08,-0.702846412493299,33448673.78,104993205.38,76922051.02,-130209963.66,-105384959.26,7303591.41,-,-,-,-,-,7176460.76,-,-,-,-,-,-,-,-,-0.675526,0.464736,0.866812,-165694014.97,0.0454522743,2020/1/21 13:30:39,662264578.08
002671,016004,80195677,龙泉股份,水泥建材,003,001,2,zxb,2020-01-03T00:00:00,2019-03-31T00:00:00,-36225087.31,155749600.46,180324306.7,0.0168746185794444,120063014.56,0.0296244476991104,9718686.05,42345864.39,10245476.68,-24494706.24,-24068309.5,12082085.6,-,-,-,-,-,6300200.56,-,-,-,-,-,-,-,-,-0.167708,-3.389648,-12.83614,-36600043.45,-14.3356130191,2020/1/3 13:01:06,120063014.56
600882,016012,10000831,妙可蓝多,食品饮料,003,001,2,shzb,2019-12-21T00:00:00,2019-03-31T00:00:00,-4631832.6,297960428.17,304389892.0,0.372336354024925,221197155.63,0.521324338705357,41992346.78,22068818.49,16568594.91,-4933018.45,-2340962.9,-301185.85,-,-,-,-,-,2024324.64,-,-,-,-,-,-,-,-,0.575182,0.815338,0.770064,-4563268.3,0.7791708349,2019/12/20 22:23:02,221197155.63
600321,016004,10000262,ST正源,水泥建材,003,001,2,,2019-12-10T00:00:00,2019-03-31T00:00:00,3090107.76,393142420.68,393151860.17,0.0240573450372794,345048444.13,-0.0257204945134629,12366843.21,21637878.05,7694276.77,1648600.86,1697260.57,-1274378.9,-,-,-,-,-,1371910.96,-,-,-,-,-,-,-,-,0.02439,0.242635,0.253072,1667991.0,-0.1166997061,2020/1/6 16:03:01,345048444.13
002175,016039,80098200,*ST东网,文化传媒,003,001,2,,2019-12-06T00:00:00,2019-03-31T00:00:00,-19390636.84,51589816.34,71907213.36,-0.174593080821971,41003607.16,-0.118883862399029,2908277.1,12485191.59,13865083.71,-20609828.99,-20744519.57,712135.69,-,-,-,-,-,546548.41,-,-,-,-,-,-,-,-,0.150918,0.533105,0.525417,-19612376.74,0.5290840855,2019/12/5 19:46:04,41003607.16
000088,016016,10000656,盐田港,港口水运,003,001,2,szzb,2019-12-05T00:00:00,2019-03-31T00:00:00,54648764.15,126444254.32,114304972.18,0.58401276986576,78568018.0,0.68482120390934,550717.48,24912415.61,9324355.64,67143651.01,67374230.71,8728629.42,-,-,-,-,-,949465.45,-,-,-,-,-,-,-,-,0.402506,-0.088063,-0.035022,54515410.53,-0.0365399901,2019/12/4 19:30:19,78568018.0
002740,016054,80198914,爱迪尔,珠宝首饰,003,001,2,zxb,2019-11-18T00:00:00,2019-03-31T00:00:00,15012267.95,340186427.64,303896921.42,-0.283974744768704,260037392.6,-0.301909326157615,21537768.4,14828959.12,6151098.06,38104355.55,40703069.56,14685967.88,-,-,-,-,-,1284830.83,-,-,-,-,-,-,-,-,-0.223966,0.882007,0.582466,13063232.44,0.4797390212,2019/11/17 17:32:58,260037392.6
002005,016019,10001384,*ST德豪,家电行业,003,001,2,,2019-11-18T00:00:00,2019-03-31T00:00:00,-15160527.63,662479952.98,723242106.53,-0.18546085008285,570641186.65,-0.153075245749139,30833700.08,70563671.58,17188541.69,-15327137.66,-14743958.6,-43880.69,-,-,-,-,-,7725294.94,-,-,-,-,-,-,-,-,-0.238615,-8.473435,-6.045663,-44935857.18,-2.5959361527,2019/11/17 18:58:59,570641186.65
688166,016024,80206271,博瑞医药,医药制造,003,001,2,,2019-10-31T00:00:00,2019-03-31T00:00:00,16120877.11,89460220.04,73747535.38,-,33128307.32,-,2206206.87,11032060.81,1350012.05,17069751.87,17068951.87,948074.76,-,-,-,-,-,618031.23,-,-,-,-,-,-,-,-,-,-,-,14865584.37,-,2020/1/8 12:05:19,33128307.32
688196,016048,80374286,卓越新能,环保工程,003,001,2,,2019-10-31T00:00:00,2019-03-31T00:00:00,40507072.74,298754094.21,279551434.69,-,250074206.08,-,7913376.55,3941320.06,1610654.14,42844665.97,42822482.11,2315409.37,-,-,-,-,-,4405744.92,-,-,-,-,-,-,-,-,-,-,-,40168335.96,-,2020/1/8 12:05:25,250074206.08
688199,016041,80166974,久日新材,化工行业,003,001,2,,2019-10-30T00:00:00,2019-03-31T00:00:00,94327473.39,410748792.98,295858122.37,0.815360744134701,237116164.18,0.80827257070867,7939401.11,15650889.09,6790841.74,116165910.79,115959424.59,21656035.35,-,-,-,-,-,2957126.96,-,-,-,-,-,-,-,-,1.113743,2.705676,2.61068,93425543.28,2.6296442079,2019/10/29 20:14:34,237116164.18
688111,016057,80642023,金山办公,软件服务,003,001,2,,2019-10-30T00:00:00,2019-03-31T00:00:00,47781217.87,284398777.85,270849644.31,-,48769920.3,-,56367311.18,26811639.57,-659124.23,43547873.46,48547610.34,766392.47,-,-,-,-,-,4646067.67,-,-,-,-,-,-,-,-,-,-,-,32126248.0,-,2020/1/8 12:03:32,48769920.3
688363,016024,80352158,华熙生物,医药制造,003,001,2,,2019-10-30T00:00:00,2019-03-31T00:00:00,107218043.41,355469206.62,227026802.0,-,79926315.09,-,86907652.84,33184806.21,6572177.76,130324210.07,127338259.24,20380202.89,-,-,-,-,-,5226948.2,-,-,-,-,-,-,-,-,-,-,-,108751729.59,-,2019/10/29 20:32:07,79926315.09
000652,016042,10000975,泰达股份,综合行业,003,001,2,szzb,2019-10-25T00:00:00,2019-03-31T00:00:00,-9865710.38,3759117841.61,3872498370.27,0.0423923910300127,3599720603.22,0.00955048200971145,13883453.88,67147107.2,181790644.97,-40684106.53,-40643293.31,-558158.28,-,-,-,-,-,6259158.54,-,-,-,-,-,-,-,-,0.030754,-0.569118,0.229099,-11908489.02,0.1983783753,2019/10/24 20:25:26,3599720603.22
688159,016015,80462544,有方科技,通讯行业,003,001,2,,2019-10-23T00:00:00,2019-03-31T00:00:00,15441187.96,160911326.54,147550204.65,-,117718941.27,-,4129653.4,8283801.06,799449.96,17337143.42,17340052.24,1898864.28,-,-,-,-,-,568318.42,-,-,-,-,-,-,-,-,-,-,-,13847278.73,-,2020/2/27 10:40:42,117718941.27
688139,016047,80118026,海尔生物,医疗行业,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,28695750.24,201021579.29,166918740.26,-,96593072.01,-,25419382.25,19347888.11,783228.83,32740192.3,32896283.14,4232172.63,-,-,-,-,-,2508404.38,-,-,-,-,-,-,-,-,-,-,-,22924398.54,-,2019/10/21 19:08:12,96593072.01
688100,016014,80308207,威胜信息,电子信息,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,28083141.12,228159758.26,199676112.15,-,156918757.51,-,13154680.66,8080946.59,-549666.77,31986601.06,32086601.06,4039014.98,-,-,-,-,-,1735123.66,-,-,-,-,-,-,-,-,-,-,-,25580039.94,-,2020/1/8 11:58:28,156918757.51
688051,016057,80995295,佳华科技,软件服务,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,4027978.63,60054600.49,56502484.94,-,34200875.32,-,5350651.67,8976384.83,2495185.63,7214472.81,6713926.27,2878472.72,-,-,-,-,-,571257.34,-,-,-,-,-,-,-,-,-,-,-,3535501.7,-,2019/10/22 17:18:23,34200875.32
688128,016061,80114911,中国电研,专用设备,003,001,2,,2019-10-17T00:00:00,2019-03-31T00:00:00,53455988.79,675994839.71,623335477.28,-,490021860.09,-,63098429.75,34718163.54,1641979.74,60818270.47,61056814.95,7933758.2,-,-,-,-,-,5232740.09,-,-,-,-,-,-,-,-,-,-,-,45864302.29,-,2019/10/17 2:17:17,490021860.09
